insertId,jsonPayload.code,jsonPayload.message,labels.activity_type_name,"labels.""agent.googleapis.com/health/agentKind""","labels.""agent.googleapis.com/health/agentVersion""","labels.""agent.googleapis.com/health/schemaVersion""","labels.""compute.googleapis.com/resource_name""",labels.policy_id,labels.resource_name,labels.started_at,labels.terse_message,labels.verbose_message,labels.violation_id,logName,receiveLocation,receiveTimestamp,resource.labels.instance_id,resource.labels.project_id,resource.labels.zone,resource.type,severity,timestamp
egxcqpg1wmbf7e,,2025-01-02T09:29:23.730400+00:00 lamp-1-vm otelopscol[3875]: 2025-01-02T09:29:23.730Z#011info#011extensions/extensions.go:39#011Starting extensions...,,,,,lamp-1-vm,,,,,,,projects/qwiklabs-gcp-00-7bccf8bdf104/logs/syslog,,2025-01-02T09:29:25.353125518Z,8137812763781882892,qwiklabs-gcp-00-7bccf8bdf104,us-east1-c,gce_instance,,2025-01-02T09:29:24.831068250Z
egxcqpg1wmbf7d,,"2025-01-02T09:29:23.730181+00:00 lamp-1-vm otelopscol[3875]: 2025-01-02T09:29:23.729Z#011info#011service@v0.112.0/service.go:207#011Starting google-cloud-metrics-agent...#011{""Version"": ""latest"", ""NumCPU"": 2}",,,,,lamp-1-vm,,,,,,,projects/qwiklabs-gcp-00-7bccf8bdf104/logs/syslog,,2025-01-02T09:29:25.353125518Z,8137812763781882892,qwiklabs-gcp-00-7bccf8bdf104,us-east1-c,gce_instance,,2025-01-02T09:29:24.831067652Z
egxcqpg1wmbf7c,,"2025-01-02T09:29:23.728807+00:00 lamp-1-vm otelopscol[3875]: 2025-01-02T09:29:23.728Z#011info#011filterprocessor@v0.112.0/metrics.go:98#011Metric filter configured#011{""include match_type"": ""strict"", ""include expressions"": [], ""include metric names"": [""otelcol_process_uptime"", ""otelcol_process_memory_rss"", ""grpc_client_attempt_duration"", ""googlecloudmonitoring_point_count""], ""include metrics with resource attributes"": null, ""exclude match_type"": """", ""exclude expressions"": [], ""exclude metric names"": [], ""exclude metrics with resource attributes"": null}",,,,,lamp-1-vm,,,,,,,projects/qwiklabs-gcp-00-7bccf8bdf104/logs/syslog,,2025-01-02T09:29:25.353125518Z,8137812763781882892,qwiklabs-gcp-00-7bccf8bdf104,us-east1-c,gce_instance,,2025-01-02T09:29:24.831067037Z
egxcqpg1wmbf7b,,"2025-01-02T09:29:23.727492+00:00 lamp-1-vm otelopscol[3875]: 2025-01-02T09:29:23.727Z#011info#011filterprocessor@v0.112.0/metrics.go:98#011Metric filter configured#011{""include match_type"": ""strict"", ""include expressions"": [], ""include metric names"": [""otelcol_process_uptime"", ""otelcol_process_memory_rss"", ""grpc_client_attempt_duration_count"", ""googlecloudmonitoring_point_count""], ""include metrics with resource attributes"": null, ""exclude match_type"": """", ""exclude expressions"": [], ""exclude metric names"": [], ""exclude metrics with resource attributes"": null}",,,,,lamp-1-vm,,,,,,,projects/qwiklabs-gcp-00-7bccf8bdf104/logs/syslog,,2025-01-02T09:29:25.353125518Z,8137812763781882892,qwiklabs-gcp-00-7bccf8bdf104,us-east1-c,gce_instance,,2025-01-02T09:29:24.831066402Z
egxcqpg1wmbf7a,,"2025-01-02T09:29:23.727247+00:00 lamp-1-vm otelopscol[3875]: 2025-01-02T09:29:23.727Z#011info#011filterprocessor@v0.112.0/metrics.go:98#011Metric filter configured#011{""include match_type"": """", ""include expressions"": [], ""include metric names"": [], ""include metrics with resource attributes"": null, ""exclude match_type"": ""strict"", ""exclude expressions"": [], ""exclude metric names"": [""system.cpu.time"", ""system.network.dropped"", ""system.filesystem.inodes.usage"", ""system.paging.faults"", ""system.disk.operation_time""], ""exclude metrics with resource attributes"": null}",,,,,lamp-1-vm,,,,,,,projects/qwiklabs-gcp-00-7bccf8bdf104/logs/syslog,,2025-01-02T09:29:25.353125518Z,8137812763781882892,qwiklabs-gcp-00-7bccf8bdf104,us-east1-c,gce_instance,,2025-01-02T09:29:24.831065463Z
egxcqpg1wmbf79,,"2025-01-02T09:29:23.726672+00:00 lamp-1-vm otelopscol[3875]: 2025-01-02T09:29:23.726Z#011info#011filterprocessor@v0.112.0/metrics.go:98#011Metric filter configured#011{""include match_type"": ""strict"", ""include expressions"": [], ""include metric names"": [""fluentbit_uptime"", ""fluentbit_stackdriver_requests_total"", ""fluentbit_stackdriver_proc_records_total"", ""fluentbit_stackdriver_retried_records_total""], ""include metrics with resource attributes"": null, ""exclude match_type"": """", ""exclude expressions"": [], ""exclude metric names"": [], ""exclude metrics with resource attributes"": null}",,,,,lamp-1-vm,,,,,,,projects/qwiklabs-gcp-00-7bccf8bdf104/logs/syslog,,2025-01-02T09:29:25.353125518Z,8137812763781882892,qwiklabs-gcp-00-7bccf8bdf104,us-east1-c,gce_instance,,2025-01-02T09:29:24.831064046Z
egxcqpg1wmbf78,,"2025-01-02T09:29:23.726390+00:00 lamp-1-vm otelopscol[3875]: 2025-01-02T09:29:23.726Z#011info#011filterprocessor@v0.112.0/metrics.go:98#011Metric filter configured#011{""include match_type"": """", ""include expressions"": [], ""include metric names"": [], ""include metrics with resource attributes"": null, ""exclude match_type"": ""regexp"", ""exclude expressions"": [], ""exclude metric names"": [], ""exclude metrics with resource attributes"": null}",,,,,lamp-1-vm,,,,,,,projects/qwiklabs-gcp-00-7bccf8bdf104/logs/syslog,,2025-01-02T09:29:25.353125518Z,8137812763781882892,qwiklabs-gcp-00-7bccf8bdf104,us-east1-c,gce_instance,,2025-01-02T09:29:24.831062743Z
egxcqpg1wmbf77,,"2025-01-02T09:29:23.725686+00:00 lamp-1-vm otelopscol[3875]: 2025-01-02T09:29:23.725Z#011info#011telemetry/metrics.go:70#011Serving metrics#011{""address"": ""0.0.0.0:20201"", ""metrics level"": ""Normal""}",,,,,lamp-1-vm,,,,,,,projects/qwiklabs-gcp-00-7bccf8bdf104/logs/syslog,,2025-01-02T09:29:25.353125518Z,8137812763781882892,qwiklabs-gcp-00-7bccf8bdf104,us-east1-c,gce_instance,,2025-01-02T09:29:24.831061647Z
egxcqpg1wmbf76,,2025-01-02T09:29:23.725516+00:00 lamp-1-vm otelopscol[3875]: 2025-01-02T09:29:23.725Z#011warn#011service@v0.112.0/service.go:190#011service::telemetry::metrics::address is being deprecated in favor of service::telemetry::metrics::readers,,,,,lamp-1-vm,,,,,,,projects/qwiklabs-gcp-00-7bccf8bdf104/logs/syslog,,2025-01-02T09:29:25.353125518Z,8137812763781882892,qwiklabs-gcp-00-7bccf8bdf104,us-east1-c,gce_instance,,2025-01-02T09:29:24.831060310Z
egxcqpg1wmbf75,,2025-01-02T09:29:23.724544+00:00 lamp-1-vm otelopscol[3875]: 2025-01-02T09:29:23.723Z#011info#011service@v0.112.0/service.go:135#011Setting up own telemetry...,,,,,lamp-1-vm,,,,,,,projects/qwiklabs-gcp-00-7bccf8bdf104/logs/syslog,,2025-01-02T09:29:25.353125518Z,8137812763781882892,qwiklabs-gcp-00-7bccf8bdf104,us-east1-c,gce_instance,,2025-01-02T09:29:24.831059361Z
